Exact 42-row satellite chain from 2/25 to 36/251
row | m | s-values (None means infinity) | edges | input M | B | x_* | output T | rho | S | L
01 | 5 | (4, 8, 5, 15, 4) | ((0, 3), (0, 4), (1, 2)) | 2/25 | 588672/7360369 | 21112/265225 | 42/515 | 377/1545 | 515/84 | 101/42
02 | 5 | (3, 4, 200, 20, 9) | ((0, 1), (1, 4), (2, 3)) | 42/515 | 3950745408/48456669019 | 24012858768/298023187225 | 45372/545915 | 132311/545915 | 545915/90744 | 21/8
03 | 5 | (100, None, 3, 8, 5) | ((0, 2), (1, 4), (2, 3)) | 45372/545915 | 8604981/103536050 | 21876624/267747769 | 1386/16363 | 3946/16363 | 16363/2772 | 1492/693
04 | 5 | (10, 30, 9, 50, 3) | ((0, 3), (1, 4), (2, 4)) | 1386/16363 | 40689391456/480619133289 | 29686338360/351043215121 | 51156/592489 | 290155/1184978 | 592489/102312 | 501/232
05 | 5 | (30, 7, 500, 3, 1000) | ((0, 3), (1, 3), (2, 4)) | 51156/592489 | 1695155977832/19724458359327 | 68815810323981/800003133323656 | 14456529/164924548 | 4760189/19402888 | 82462274/14456529 | 383/174
06 | 5 | (200, 8, 3, 1000, 200) | ((0, 3), (0, 4), (1, 4), (2, 3)) | 14456529/164924548 | 15147175846141600/172864878767847021 | 15302003243436/247622860465369 | 1391607/15736037 | 547047163/3131471363 | 15736037/2783214 | 997/398
07 | 5 | (1000, None, 100, 3, 12) | ((0, 1), (0, 2), (1, 3), (2, 4)) | 1391607/15736037 | 10921900803363/123524463592336 | 954442824/15158780641 | 10989/123121 | 2149646/12188979 | 123121/21978 | 4997/1998
08 | 5 | (200, 3, 200, 200, 30) | ((0, 2), (0, 3), (1, 3), (2, 4)) | 10989/123121 | 48190837069600/539965000699609 | 261689852/4102786809 | 5771/64053 | 2255947/12746547 | 64053/11542 | 997/398
09 | 5 | (50, 500, 4, 8, None) | ((0, 1), (0, 4), (1, 3), (2, 4)) | 5771/64053 | 992972076/11024790001 | 10516619610/162682348921 | 73353/806678 | 71685/403339 | 403339/73353 | 346/147
10 | 5 | (12, 1000, 50, None, 4) | ((0, 1), (1, 2), (2, 3), (3, 4)) | 73353/806678 | 287825113884/3165634483729 | 567401124906/8598213217441 | 538461/5864542 | 526873/2932271 | 2932271/538461 | 346/147
11 | 5 | (None, 500, 4, 20, 500) | ((0, 1), (0, 3), (1, 4), (2, 4)) | 538461/5864542 | 590180994915280/6428639757435003 | 1610436162/23503036249 | 28443/306614 | 14126633/76500193 | 153307/28443 | 3496/1497
12 | 4 | (4, 2, None, None) | ((0, 2), (1, 3), (2, 3)) | 28443/306614 | 78/841 | 9/128 | 3/32 | 3/16 | 16/3 | 3
13 | 5 | (5, 50, None, 200, 1000) | ((0, 3), (1, 2), (2, 4), (3, 4)) | 3/32 | 13007700200678400/138764773675896481 | 3014413215681672/42269814313330081 | 19482498/205596241 | 38681041/205596241 | 205596241/38964996 | 8995/3996
14 | 5 | (8, 500, 15, 500, None) | ((0, 3), (1, 2), (1, 4), (3, 4)) | 19482498/205596241 | 16486960/174002481 | 19435052/265793405 | 3493/36455 | 1391/7291 | 36455/6986 | 15/7
15 | 5 | (1000, 200, 1000, 8, 100) | ((0, 1), (0, 4), (1, 2), (2, 3)) | 3493/36455 | 9886792305505500/103200677779396129 | 58160027113419/779875932882818 | 15307677/157974776 | 34194623/177721623 | 78987388/15307677 | 2992/1393
16 | 5 | (500, 12, 1000, 500, 200) | ((0, 2), (0, 4), (1, 3), (2, 3)) | 15307677/157974776 | 611178765889304250/6308826007357096609 | 296139998714067783/3872884851679911218 | 1091218689/11132489176 | 271384647/1391561147 | 5566244588/1091218689 | 22988/10989
17 | 5 | (500, None, 500, 1000, 30) | ((0, 2), (1, 3), (1, 4), (2, 3)) | 1091218689/11132489176 | 420735812821608859740/4292315451873418837921 | 416723903273682/5307641058966481 | 14456529/145707118 | 7192086971/36353925941 | 72853559/14456529 | 58970/28971
18 | 4 | (2, None, None, None) | ((0, 1), (1, 3), (2, 3)) | 14456529/145707118 | 8/81 | 2/25 | 1/10 | 1/5 | 5 | 3
19 | 4 | (4, 3, 9, None) | ((0, 2), (1, 3), (2, 3)) | 1/10 | 1188/11881 | 960/14161 | 12/119 | 20/119 | 119/24 | 21/8
20 | 4 | (3, 15, 4, 100) | ((0, 3), (1, 2), (1, 3)) | 12/119 | 966735/9597604 | 213444/2900209 | 693/6812 | 308/1703 | 3406/693 | 18/7
