EXACT WEIGHTED-PATH COMPILER CERTIFICATE
================================================================================================

Each row certifies B <= left and x_* <= left, hence [0,left] -> [0,target].
gamma=1-1/s (s=infinity means gamma=1); H is a spanning disjoint union
of c nontrivial paths on m vertices; rho=(gamma*m-e(H))/(gamma*m);
T=gamma/(2m), B=T*4(1-rho)/(2-rho)^2, x_*=4rho*T.

Special reciprocal bridges:
left | target | m | s | c | rho | B | x_*
1/114 | 1/112 | 55 | 56 | 14 | 729/3025 | 248050/28313041 | 729/84700
1/112 | 1/110 | 55 | infinity | 13 | 13/55 | 84/9409 | 26/3025
1/110 | 1/108 | 54 | infinity | 13 | 13/54 | 82/9025 | 13/1458
1/108 | 1/106 | 53 | infinity | 13 | 13/53 | 80/8649 | 26/2809

109-step chain from 1/106 to 1/20:
step | left | target | m | s | c | rho | B | x_*
1 | 1/106 | 25/2601 | 51 | 51 | 13 | 6/25 | 11875/1258884 | 8/867
2 | 25/2601 | 49/5000 | 50 | 50 | 13 | 12/49 | 88837/9245000 | 6/625
3 | 49/5000 | 23/2304 | 48 | 24 | 13 | 11/46 | 18515/1889568 | 11/1152
4 | 23/2304 | 377/37044 | 49 | 378 | 12 | 641/2639 | 10517546/1053586681 | 641/64827
5 | 377/37044 | 37/3572 | 47 | 38 | 12 | 409/1739 | 95830/9418761 | 409/41971
6 | 37/3572 | 13/1232 | 44 | 14 | 13 | 69/286 | 5239/506018 | 69/6776
7 | 13/1232 | 1/93 | 45 | 31 | 12 | 109/450 | 6600/625681 | 218/20925
8 | 1/93 | 8/731 | 43 | 17 | 12 | 161/688 | 15872/1476225 | 322/31433
9 | 8/731 | 25/2244 | 44 | 51 | 11 | 47/200 | 15000/1370699 | 47/4488
10 | 25/2244 | 20/1763 | 43 | 41 | 11 | 51/215 | 1600/143641 | 816/75809
11 | 20/1763 | 11/952 | 42 | 34 | 11 | 166/693 | 33759/2976800 | 83/7497
12 | 11/952 | 14/1189 | 41 | 29 | 11 | 139/574 | 11760/1018081 | 556/48749
13 | 14/1189 | 3/250 | 40 | 25 | 11 | 47/192 | 33408/2839225 | 47/4000
14 | 3/250 | 21/1720 | 40 | 43 | 10 | 13/56 | 196/16335 | 39/3440
15 | 21/1720 | 171/13760 | 40 | 172 | 10 | 14/57 | 9747/800000 | 21/1720
16 | 171/13760 | 35/2769 | 39 | 71 | 10 | 671/2730 | 284200/22934521 | 1342/107991
17 | 35/2769 | 9/700 | 35 | 10 | 11 | 5/21 | 432/34225 | 3/245
18 | 9/700 | 175/13376 | 38 | 176 | 9 | 773/3325 | 888125/69078258 | 773/63536
19 | 175/13376 | 33/2479 | 37 | 67 | 9 | 283/1221 | 60984/4661281 | 1132/91723
20 | 33/2479 | 13/960 | 36 | 40 | 9 | 3/13 | 169/12696 | 1/80
21 | 13/960 | 53/3840 | 36 | 160 | 9 | 13/53 | 2809/207576 | 13/960
22 | 53/3840 | 9/640 | 35 | 64 | 9 | 541/2205 | 206388/14969161 | 541/39200
23 | 9/640 | 37/2584 | 34 | 38 | 9 | 154/629 | 34225/2437632 | 77/5491
24 | 37/2584 | 13/891 | 33 | 27 | 9 | 35/143 | 2704/189003 | 140/9801
25 | 13/891 | 19/1280 | 32 | 20 | 9 | 37/152 | 8303/570312 | 37/2560
26 | 19/1280 | 499/33000 | 33 | 500 | 8 | 3967/16467 | 12450050/839087089 | 3967/272250
27 | 499/33000 | 35/2272 | 32 | 71 | 8 | 67/280 | 3675/243049 | 67/4544
28 | 35/2272 | 35/2232 | 31 | 36 | 8 | 257/1085 | 56350/3659569 | 257/17298
29 | 35/2232 | 11/690 | 30 | 23 | 8 | 7/30 | 44/2809 | 77/5175
30 | 11/690 | 7/432 | 27 | 8 | 9 | 5/21 | 196/12321 | 5/324
31 | 7/432 | 23/1392 | 29 | 24 | 8 | 163/667 | 22218/1371241 | 163/10092
32 | 23/1392 | 2/119 | 28 | 17 | 8 | 27/112 | 640/38809 | 27/1666
33 | 2/119 | 66/3857 | 29 | 133 | 7 | 41/174 | 1584/94249 | 1804/111853
34 | 66/3857 | 19/1092 | 28 | 39 | 7 | 35/152 | 8664/506527 | 5/312
35 | 19/1092 | 155/8736 | 28 | 156 | 7 | 38/155 | 72075/4143104 | 19/1092
36 | 155/8736 | 41/2268 | 27 | 42 | 7 | 89/369 | 67240/3790809 | 89/5103
37 | 41/2268 | 11/598 | 26 | 23 | 7 | 135/572 | 18392/1018081 | 135/7774
38 | 11/598 | 7/375 | 25 | 15 | 7 | 8/35 | 441/24025 | 32/1875
39 | 7/375 | 19/1000 | 25 | 20 | 7 | 23/95 | 12996/697225 | 23/1250
40 | 19/1000 | 13/672 | 24 | 14 | 7 | 37/156 | 2873/151250 | 37/2016
41 | 13/672 | 59/3000 | 25 | 60 | 6 | 67/295 | 132278/6838225 | 67/3750
42 | 59/3000 | 499/25000 | 25 | 500 | 6 | 119/499 | 9462038/482900625 | 119/6250
43 | 499/25000 | 19/936 | 24 | 39 | 6 | 35/152 | 1444/72361 | 35/1872
44 | 19/936 | 155/7488 | 24 | 156 | 6 | 38/155 | 24025/1183744 | 19/936
45 | 155/7488 | 16/759 | 23 | 33 | 6 | 175/736 | 34816/1682209 | 350/17457
46 | 16/759 | 3/140 | 20 | 7 | 7 | 29/120 | 936/44521 | 29/1400
47 | 3/140 | 6/275 | 22 | 25 | 6 | 8/33 | 18/841 | 64/3025
48 | 6/275 | 13/588 | 21 | 14 | 6 | 3/13 | 1690/77763 | 1/49
49 | 13/588 | 17/756 | 21 | 18 | 6 | 29/119 | 2890/131043 | 29/1323
50 | 17/756 | 11/483 | 21 | 23 | 5 | 47/231 | 3872/172225 | 188/10143
51 | 11/483 | 11/476 | 21 | 34 | 5 | 149/693 | 34848/1530169 | 149/7497
52 | 11/476 | 25/1064 | 21 | 76 | 5 | 359/1575 | 180000/7789681 | 359/16758
53 | 25/1064 | 1/42 | 18 | 7 | 6 | 2/9 | 3/128 | 4/189
54 | 1/42 | 3/124 | 20 | 31 | 5 | 9/40 | 120/5041 | 27/1240
55 | 3/124 | 7/284 | 20 | 71 | 5 | 67/280 | 5880/243049 | 67/2840
56 | 7/284 | 1/40 | 16 | 5 | 6 | 7/32 | 80/3249 | 7/320
57 | 1/40 | 15/589 | 19 | 31 | 5 | 68/285 | 1575/63001 | 272/11191
58 | 15/589 | 13/504 | 18 | 14 | 5 | 2/9 | 13/512 | 13/567
59 | 13/504 | 17/648 | 18 | 18 | 5 | 4/17 | 3757/145800 | 2/81
60 | 17/648 | 23/864 | 18 | 24 | 5 | 17/69 | 6877/263538 | 17/648
61 | 23/864 | 11/408 | 17 | 12 | 5 | 43/187 | 2904/109561 | 43/1734
62 | 11/408 | 7/255 | 17 | 15 | 5 | 29/119 | 1176/43681 | 116/4335
63 | 7/255 | 1/36 | 15 | 6 | 5 | 1/5 | 20/729 | 1/45
64 | 1/36 | 9/320 | 16 | 10 | 5 | 17/72 | 891/32258 | 17/640
65 | 9/320 | 1/35 | 15 | 7 | 5 | 2/9 | 9/320 | 8/315
66 | 1/35 | 39/1343 | 17 | 79 | 4 | 23/102 | 936/32761 | 598/22831
67 | 39/1343 | 1/34 | 16 | 17 | 4 | 13/64 | 384/13225 | 13/544
68 | 1/34 | 21/704 | 16 | 22 | 4 | 3/14 | 147/5000 | 9/352
69 | 21/704 | 1/33 | 16 | 33 | 4 | 29/128 | 1536/51529 | 29/1056
70 | 1/33 | 21/680 | 16 | 85 | 4 | 27/112 | 1176/38809 | 81/2720
71 | 21/680 | 1/32 | 15 | 16 | 4 | 49/225 | 4950/160801 | 49/1800
72 | 1/32 | 2/63 | 15 | 21 | 4 | 23/100 | 8800/281961 | 46/1575
73 | 2/63 | 11/340 | 15 | 34 | 4 | 11/45 | 198/6241 | 121/3825
74 | 11/340 | 11/336 | 14 | 12 | 4 | 17/77 | 605/18769 | 17/588
75 | 11/336 | 13/392 | 14 | 14 | 4 | 3/13 | 845/25921 | 3/98
76 | 13/392 | 17/504 | 14 | 18 | 4 | 29/119 | 1445/43681 | 29/882
77 | 17/504 | 4/117 | 13 | 9 | 4 | 23/104 | 1152/34225 | 46/1521
78 | 4/117 | 9/260 | 13 | 10 | 4 | 3/13 | 18/529 | 27/845
